Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2020-12-26,Saskatchewan,Total population,"1,783",0,n/a,0.20%,0%,n/a
2020-12-26,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Alberta,Total population,"4,792",0,n/a,0.10%,0%,n/a
2020-12-26,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,British Columbia,Total population,"12,447",0,n/a,0.20%,0%,n/a
2020-12-26,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Yukon,Total population,0,0,n/a,0%,0%,n/a
2020-12-26,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Northwest Territories,Total population,0,0,n/a,0%,0%,n/a
2020-12-26,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nunavut,Total population,0,0,n/a,0%,0%,n/a
2020-12-26,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2020-12-26,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Canada,Total population,"82,512",0,n/a,0.40%,0%,n/a
2021-01-02,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Newfoundland and Labrador,Total population,"1,785",0,n/a,0.30%,0%,n/a
2021-01-02,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Prince Edward Island,Total population,"1,669",0,n/a,1.00%,0%,n/a
2021-01-02,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nova Scotia,Total population,"2,720",0,n/a,0.30%,0%,n/a
2021-01-02,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,New Brunswick,Total population,"2,886",0,n/a,0.40%,0%,n/a
2021-01-02,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Quebec,Total population,"28,305",n/a,n/a,0.30%,n/a,n/a
2021-01-02,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Manitoba,Total population,"3,432",0,n/a,0.20%,0%,n/a
2021-01-02,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Saskatchewan,Total population,"3,540",0,n/a,0.30%,0%,n/a
2021-01-02,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Alberta,Total population,"13,383",0,n/a,0.30%,0%,n/a
2021-01-02,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,British Columbia,Total population,"24,670",0,n/a,0.50%,0%,n/a
2021-01-02,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Yukon,Total population,0,0,n/a,0%,0%,n/a
2021-01-02,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Northwest Territories,Total population,122,0,n/a,0.30%,0%,n/a
2021-01-02,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nunavut,Total population,0,0,n/a,0%,0%,n/a
2021-01-02,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-02,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Canada,Total population,"217,367","4,521",n/a,0.90%,<0.1%,n/a
2021-01-09,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Newfoundland and Labrador,Total population,"2,847",853,n/a,0.50%,0.20%,n/a
2021-01-09,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Prince Edward Island,Total population,"2,481",0,n/a,1.50%,0%,n/a
2021-01-09,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nova Scotia,Total population,"2,755","1,076",n/a,0.30%,0.10%,n/a
2021-01-09,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,New Brunswick,Total population,"6,241",0,n/a,0.80%,0%,n/a
2021-01-09,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Quebec,Total population,"83,288",n/a,n/a,1.00%,n/a,n/a
2021-01-09,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Manitoba,Total population,"8,694",880,n/a,0.60%,0.10%,n/a
2021-01-09,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Saskatchewan,Total population,"5,522",953,n/a,0.50%,0.10%,n/a
2021-01-09,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Alberta,Total population,"44,298",724,n/a,1.00%,<0.1%,n/a
2021-01-09,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,British Columbia,Total population,"60,215",35,n/a,1.20%,<0.1%,n/a
2021-01-09,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Yukon,Total population,495,0,n/a,1.10%,0%,n/a
2021-01-09,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Northwest Territories,Total population,511,0,n/a,1.20%,0%,n/a
2021-01-09,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nunavut,Total population,20,0,n/a,0.10%,0%,n/a
2021-01-09,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-09,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Canada,Total population,"564,968","26,767",n/a,1.50%,0.10%,n/a
2021-01-16,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Newfoundland and Labrador,Total population,"4,250","1,734",n/a,0.80%,0.30%,n/a
2021-01-16,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Prince Edward Island,Total population,"4,305","1,392",n/a,2.60%,0.80%,n/a
2021-01-16,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nova Scotia,Total population,"5,740","2,207",n/a,0.60%,0.20%,n/a
2021-01-16,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,New Brunswick,Total population,"7,918","2,565",n/a,1.00%,0.30%,n/a
2021-01-16,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Quebec,Total population,"145,783",n/a,n/a,1.70%,n/a,n/a
2021-01-16,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Ontario,Total population,"189,240","10,857",n/a,1.30%,0.10%,n/a
2021-01-16,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Manitoba,Total population,"16,499","2,144",n/a,1.20%,0.20%,n/a
2021-01-16,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Saskatchewan,Total population,"14,318","1,746",n/a,1.20%,0.10%,n/a
2021-01-16,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Alberta,Total population,"81,859","4,075",n/a,1.80%,0.10%,n/a
2021-01-16,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,British Columbia,Total population,"89,715",47,n/a,1.70%,<0.1%,n/a
2021-01-16,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Yukon,Total population,"1,309",0,n/a,3.00%,0%,n/a
2021-01-16,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Northwest Territories,Total population,"1,891",0,n/a,4.30%,0%,n/a
2021-01-16,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nunavut,Total population,"2,141",0,n/a,5.40%,0%,n/a
2021-01-16,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-16,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Canada,Total population,"775,534","59,302",n/a,2.00%,0.20%,n/a
2021-01-23,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Newfoundland and Labrador,Total population,"7,448","1,737",n/a,1.40%,0.30%,n/a
2021-01-23,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Prince Edward Island,Total population,"5,218","1,884",n/a,3.20%,1.10%,n/a
2021-01-23,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nova Scotia,Total population,"8,288","2,708",n/a,0.80%,0.30%,n/a
2021-01-23,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,New Brunswick,Total population,"11,516","2,841",n/a,1.50%,0.40%,n/a
2021-01-23,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Quebec,Total population,"218,827",n/a,n/a,2.50%,n/a,n/a
2021-01-23,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Ontario,Total population,"249,132","31,441",n/a,1.70%,0.20%,n/a
2021-01-23,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Manitoba,Total population,"25,839","3,396",n/a,1.90%,0.20%,n/a
2021-01-23,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Saskatchewan,Total population,"23,688","2,466",n/a,2.00%,0.20%,n/a
2021-01-23,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Alberta,Total population,"89,557","9,469",n/a,2.00%,0.20%,n/a
2021-01-23,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,British Columbia,Total population,"118,152","3,360",n/a,2.30%,0.10%,n/a
2021-01-23,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Yukon,Total population,"3,950",0,n/a,9.20%,0%,n/a
2021-01-23,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Northwest Territories,Total population,"9,471",0,n/a,21.80%,0%,n/a
2021-01-23,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nunavut,Total population,"4,448",0,n/a,11.30%,0%,n/a
2021-01-23,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-23,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Canada,Total population,"859,277","113,649",n/a,2.20%,0.30%,n/a
2021-01-30,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Newfoundland and Labrador,Total population,"8,353","2,762",n/a,1.60%,0.50%,n/a
2021-01-30,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-01-30,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
