week_end	pruid	prename	prfname	numtotal_atleast1dose	numtotal_partially	numtotal_fully	numtotal_onlyfully	numtotal_additional	numtotal_1additional	numtotal_2nd_additional	numtotal_recent_fullyoradditional	proptotal_atleast1dose	proptotal_partially	proptotal_fully	proptotal_onlyfully	proptotal_additional	proptotal_1additional	proptotal_2nd_additional	proptotal_recent_fullyoradditional	num18plus_atleast1dose	num18plus_partially	num18plus_fully	num18plus_onlyfully	num18plus_additional	num18plus_1additional	num18plus_2nd_additional	num18plus_recent_fullyoradditional	prop18plus_atleast1dose	prop18plus_partially	prop18plus_fully	prop18plus_onlyfully	prop18plus_additional	prop18plus_1additional	prop18plus_2nd_additional	prop18plus_recent_fullyoradditional	num5plus_atleast1dose	num5plus_partially	num5plus_fully	num5plus_onlyfully	num5plus_additional	num5plus_1additional	num5plus_2nd_additional	num5plus_recent_fullyoradditional	prop5plus_atleast1dose	prop5plus_partially	prop5plus_fully	prop5plus_onlyfully	prop5plus_additional	prop5plus_1additional	prop5plus_2nd_additional	prop5plus_recent_fullyoradditional	num12plus_atleast1dose	num12plus_partially	num12plus_fully	num12plus_onlyfully	num12plus_additional	num12plus_1additional	num12plus_2nd_additional	num12plus_recent_fullyoradditional	prop12plus_atleast1dose	prop12plus_partially	prop12plus_fully	prop12plus_onlyfully	prop12plus_additional	prop12plus_1additional	prop12plus_2nd_additional	prop12plus_recent_fullyoradditional
2020-12-26	24	Quebec	Québec	17216	17216	0						0.2	0.2	0																																																					
2020-12-26	46	Manitoba	Manitoba	2177	2177	0						0.2	0.2	0																																																					
2020-12-26	47	Saskatchewan	Saskatchewan	1783	1783	0						0.2	0.2	0																																																					
2020-12-26	48	Alberta	Alberta	4792	4792	0						0.1	0.1	0																																																					
2020-12-26	59	British Columbia	Colombie-Britannique	12447	12447	0						0.2	0.2	0																																																					
2020-12-26	60	Yukon	Yukon	0	0	0						0	0	0																																																					
2020-12-26	61	Northwest Territories	Territoires du Nord-Ouest	0	0	0						0	0	0																																																					
2020-12-26	62	Nunavut	Nunavut	0	0	0						0	0	0																																																					
2021-01-02	1	Canada	Canada	82512	82512	0						0.4	0.4	0																																																					
2021-01-02	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	1785	1785	0						0.3	0.3	0																																																					
2021-01-02	11	Prince Edward Island	Île-du-Prince-Édouard	1669	1669	0						1	1	0																																																					
2021-01-02	12	Nova Scotia	Nouvelle-Écosse	2720	2720	0						0.3	0.3	0																																																					
2021-01-02	13	New Brunswick	Nouveau-Brunswick	2886	2886	0						0.4	0.4	0																																																					
2021-01-02	24	Quebec	Québec	28305	28305							0.3	0.3																																																						
2021-01-02	46	Manitoba	Manitoba	3432	3432	0						0.2	0.2	0																																																					
2021-01-02	47	Saskatchewan	Saskatchewan	3540	3540	0						0.3	0.3	0																																																					
2021-01-02	48	Alberta	Alberta	13383	13383	0						0.3	0.3	0																																																					
2021-01-02	59	British Columbia	Colombie-Britannique	24670	24670	0						0.5	0.5	0																																																					
2021-01-02	60	Yukon	Yukon	0	0	0						0	0	0																																																					
2021-01-02	61	Northwest Territories	Territoires du Nord-Ouest	122	122	0						0.3	0.3	0																																																					
2021-01-02	62	Nunavut	Nunavut	0	0	0						0	0	0																																																					
2021-01-09	1	Canada	Canada	217367	212846	4521						0.9	0.9	<0.1																																																					
2021-01-09	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	2847	1994	853						0.5	0.4	0.2																																																					
2021-01-09	11	Prince Edward Island	Île-du-Prince-Édouard	2481	2481	0						1.5	1.5	0																																																					
2021-01-09	12	Nova Scotia	Nouvelle-Écosse	2755	1679	1076						0.3	0.2	0.1																																																					
2021-01-09	13	New Brunswick	Nouveau-Brunswick	6241	6241	0						0.8	0.8	0																																																					
2021-01-09	24	Quebec	Québec	83288	83288							1	1																																																						
2021-01-09	46	Manitoba	Manitoba	8694	7814	880						0.6	0.6	0.1																																																					
2021-01-09	47	Saskatchewan	Saskatchewan	5522	4569	953						0.5	0.4	0.1																																																					
2021-01-09	48	Alberta	Alberta	44298	43574	724						1	1	<0.1																																																					
2021-01-09	59	British Columbia	Colombie-Britannique	60215	60180	35						1.2	1.2	<0.1																																																					
2021-01-09	60	Yukon	Yukon	495	495	0						1.1	1.1	0																																																					
2021-01-09	61	Northwest Territories	Territoires du Nord-Ouest	511	511	0						1.2	1.2	0																																																					
2021-01-09	62	Nunavut	Nunavut	20	20	0						0.1	0.1	0																																																					
2021-01-16	1	Canada	Canada	564968	538201	26767						1.5	1.4	0.1																																																					
2021-01-16	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	4250	2516	1734						0.8	0.5	0.3																																																					
2021-01-16	11	Prince Edward Island	Île-du-Prince-Édouard	4305	2913	1392						2.6	1.8	0.8																																																					
2021-01-16	12	Nova Scotia	Nouvelle-Écosse	5740	3533	2207						0.6	0.4	0.2																																																					
2021-01-16	13	New Brunswick	Nouveau-Brunswick	7918	5353	2565						1	0.7	0.3																																																					
2021-01-16	24	Quebec	Québec	145783	145783							1.7	1.7																																																						
2021-01-16	35	Ontario	Ontario	189240	178383	10857						1.3	1.2	0.1																																																					
2021-01-16	46	Manitoba	Manitoba	16499	14355	2144						1.2	1	0.2																																																					
2021-01-16	47	Saskatchewan	Saskatchewan	14318	12572	1746						1.2	1.1	0.1																																																					
2021-01-16	48	Alberta	Alberta	81859	77784	4075						1.8	1.8	0.1																																																					
2021-01-16	59	British Columbia	Colombie-Britannique	89715	89668	47						1.7	1.7	<0.1																																																					
2021-01-16	60	Yukon	Yukon	1309	1309	0						3	3	0																																																					
2021-01-16	61	Northwest Territories	Territoires du Nord-Ouest	1891	1891	0						4.3	4.3	0																																																					
2021-01-16	62	Nunavut	Nunavut	2141	2141	0						5.4	5.4	0																																																					
2021-01-23	1	Canada	Canada	775534	716232	59302						2	1.9	0.2																																																					
2021-01-23	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	7448	5711	1737						1.4	1.1	0.3																																																					
2021-01-23	11	Prince Edward Island	Île-du-Prince-Édouard	5218	3334	1884						3.2	2	1.1																																																					
2021-01-23	12	Nova Scotia	Nouvelle-Écosse	8288	5580	2708						0.8	0.6	0.3																																																					
2021-01-23	13	New Brunswick	Nouveau-Brunswick	11516	8675	2841						1.5	1.1	0.4																																																					
2021-01-23	24	Quebec	Québec	218827	218827							2.5	2.5																																																						
2021-01-23	35	Ontario	Ontario	249132	217691	31441						1.7	1.5	0.2																																																					
2021-01-23	46	Manitoba	Manitoba	25839	22443	3396						1.9	1.6	0.2																																																					
2021-01-23	47	Saskatchewan	Saskatchewan	23688	21222	2466						2	1.8	0.2																																																					
2021-01-23	48	Alberta	Alberta	89557	80088	9469						2	1.8	0.2																																																					
2021-01-23	59	British Columbia	Colombie-Britannique	118152	114792	3360						2.3	2.2	0.1																																																					
2021-01-23	60	Yukon	Yukon	3950	3950	0						9.2	9.2	0																																																					
2021-01-23	61	Northwest Territories	Territoires du Nord-Ouest	9471	9471	0						21.8	21.8	0																																																					
2021-01-23	62	Nunavut	Nunavut	4448	4448	0						11.3	11.3	0																																																					
2021-01-30	1	Canada	Canada	859277	745628	113649						2.2	1.9	0.3																																																					
2021-01-30	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	8353	5591	2762						1.6	1.1	0.5																																																					
2021-01-30	11	Prince Edward Island	Île-du-Prince-Édouard	5281	2716	2565						3.2	1.7	1.6																																																					
2021-01-30	12	Nova Scotia	Nouvelle-Écosse	12090	9361	2729						1.2	0.9	0.3																																																					
2021-01-30	13	New Brunswick	Nouveau-Brunswick	12791	8326	4465						1.6	1.1	0.6																																																					
2021-01-30	24	Quebec	Québec	239497	239497							2.8	2.8																																																						
2021-01-30	35	Ontario	Ontario	270795	201946	68849						1.8	1.4	0.5																																																					
2021-01-30	46	Manitoba	Manitoba	32441	23938	8503						2.3	1.7	0.6																																																					
2021-01-30	47	Saskatchewan	Saskatchewan	27229	24157	3072						2.3	2	0.3																																																					
2021-01-30	48	Alberta	Alberta	90238	74244	15994						2	1.7	0.4																																																					
2021-01-30	59	British Columbia	Colombie-Britannique	135503	130911	4592						2.6	2.5	0.1																																																					
2021-01-30	60	Yukon	Yukon	7355	7355	0						17.1	17.1	0																																																					
2021-01-30	61	Northwest Territories	Territoires du Nord-Ouest	12240	12122	118						28.2	27.9	0.3																																																					
2021-01-30	62	Nunavut	Nunavut	5464	5464	0						13.9	13.9	0																																																					
2021-02-06	1	Canada	Canada	901469	727669	173800						2.4	1.9	0.5																																																					
2021-02-06	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	8890	4822	4068						1.7	0.9	0.8																																																					
2021-02-06	11	Prince Edward Island	Île-du-Prince-Édouard	5304	1791	3513						3.2	1.1	2.1																																																					
2021-02-06	12	Nova Scotia	Nouvelle-Écosse	12849	7716	5133						1.3	0.8	0.5																																																					
2021-02-06	13	New Brunswick	Nouveau-Brunswick	13251	7838	5413						1.7	1	0.7																																																					
2021-02-06	24	Quebec	Québec	257501	257501							3	3																																																						
2021-02-06	35	Ontario	Ontario	277440	175696	101744						1.9	1.2	0.7																																																					
2021-02-06	46	Manitoba	Manitoba	33641	19998	13643						2.4	1.4	1																																																					
2021-02-06	47	Saskatchewan	Saskatchewan	29787	24381	5406						2.5	2.1	0.5																																																					
2021-02-06	48	Alberta	Alberta	90668	68989	21679						2	1.6	0.5																																																					
2021-02-06	59	British Columbia	Colombie-Britannique	143002	130874	12128						2.7	2.5	0.2																																																					
2021-02-06	60	Yukon	Yukon	10447	9968	479						24.2	23.1	1.1																																																					
2021-02-06	61	Northwest Territories	Territoires du Nord-Ouest	12830	12531	299						29.5	28.8	0.7																																																					
2021-02-06	62	Nunavut	Nunavut	5859	5564	295						14.9	14.1	0.7																																																					
2021-02-13	1	Canada	Canada	973098	665729	307369						2.5	1.7	0.8																																																					
2021-02-13	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	9792	4343	5449						1.9	0.8	1																																																					
2021-02-13	11	Prince Edward Island	Île-du-Prince-Édouard	5692	799	4893						3.5	0.5	3																																																					
2021-02-13	12	Nova Scotia	Nouvelle-Écosse	14727	6688	8039						1.5	0.7	0.8																																																					
2021-02-13	13	New Brunswick	Nouveau-Brunswick	13651	6153	7498						1.7	0.8	1																																																					
2021-02-13	24	Quebec	Québec	293741	293741							3.4	3.4																																																						
2021-02-13	35	Ontario	Ontario	292983	118340	174643						2	0.8	1.2																																																					
2021-02-13	46	Manitoba	Manitoba	34848	14442	20406						2.5	1	1.5																																																					
2021-02-13	47	Saskatchewan	Saskatchewan	32883	23338	9545						2.8	2	0.8																																																					
2021-02-13	48	Alberta	Alberta	94996	44314	50682						2.1	1	1.1																																																					
2021-02-13	59	British Columbia	Colombie-Britannique	149190	126556	22634						2.9	2.4	0.4																																																					
2021-02-13	60	Yukon	Yukon	10524	9657	867						24.4	22.4	2																																																					
2021-02-13	61	Northwest Territories	Territoires du Nord-Ouest	13575	12996	579						31.2	29.9	1.3																																																					
2021-02-13	62	Nunavut	Nunavut	6496	4362	2134						16.5	11.1	5.4																																																					
2021-02-20	1	Canada	Canada	1086615	651341	435274						2.8	1.7	1.1																																																					
2021-02-20	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	10436	4324	6112						2	0.8	1.2																																																					
2021-02-20	11	Prince Edward Island	Île-du-Prince-Édouard	6453	1297	5156						3.9	0.8	3.1																																																					
2021-02-20	12	Nova Scotia	Nouvelle-Écosse	14915	6690	8225						1.5	0.7	0.8																																																					
2021-02-20	13	New Brunswick	Nouveau-Brunswick	15266	4239	11027						1.9	0.5	1.4																																																					
2021-02-20	24	Quebec	Québec	345985	345985							4	4																																																						
2021-02-20	35	Ontario	Ontario	319915	84862	235053						2.2	0.6	1.6																																																					
2021-02-20	46	Manitoba	Manitoba	36279	11082	25197						2.6	0.8	1.8																																																					
2021-02-20	47	Saskatchewan	Saskatchewan	37778	21811	15967						3.2	1.8	1.4																																																					
2021-02-20	48	Alberta	Alberta	103236	37048	66188						2.3	0.8	1.5																																																					
2021-02-20	59	British Columbia	Colombie-Britannique	164249	109031	55218						3.1	2.1	1.1																																																					
2021-02-20	60	Yukon	Yukon	10613	9523	1090						24.6	22.1	2.5																																																					
2021-02-20	61	Northwest Territories	Territoires du Nord-Ouest	14517	12583	1934						33.4	28.9	4.4																																																					
2021-02-20	62	Nunavut	Nunavut	6973	2866	4107						17.7	7.3	10.4																																																					
2021-02-27	1	Canada	Canada	1381565	843160	538405						3.6	2.2	1.4																																																					
2021-02-27	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	16623	8411	8212						3.2	1.6	1.6																																																					
2021-02-27	11	Prince Edward Island	Île-du-Prince-Édouard	7366	2154	5212						4.5	1.3	3.2																																																					
2021-02-27	12	Nova Scotia	Nouvelle-Écosse	19734	7116	12618						2	0.7	1.3																																																					
2021-02-27	13	New Brunswick	Nouveau-Brunswick	21689	9557	12132						2.7	1.2	1.5																																																					
2021-02-27	24	Quebec	Québec	431743	431743							5	5																																																						
2021-02-27	35	Ontario	Ontario	425162	163239	261923						2.9	1.1	1.8																																																					
2021-02-27	46	Manitoba	Manitoba	46651	17675	28976						3.4	1.3	2.1																																																					
2021-02-27	47	Saskatchewan	Saskatchewan	46304	22842	23462						3.9	1.9	2																																																					
2021-02-27	48	Alberta	Alberta	139961	52554	87407						3.2	1.2	2																																																					
2021-02-27	59	British Columbia	Colombie-Britannique	192763	108741	84022						3.7	2.1	1.6																																																					
2021-02-27	60	Yukon	Yukon	10959	6157	4802						25.4	14.3	11.1																																																					
2021-02-27	61	Northwest Territories	Territoires du Nord-Ouest	15214	10656	4558						35	24.5	10.5																																																					
2021-02-27	62	Nunavut	Nunavut	7396	2315	5081						18.8	5.9	12.9																																																					
2021-03-06	1	Canada	Canada	1854955	1281288	573667						4.9	3.4	1.5																																																					
2021-03-06	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	21087	11951	9136						4.1	2.3	1.8																																																					
2021-03-06	11	Prince Edward Island	Île-du-Prince-Édouard	8667	3160	5507						5.3	1.9	3.4																																																					
2021-03-06	12	Nova Scotia	Nouvelle-Écosse	25011	10578	14433						2.5	1.1	1.5																																																					
2021-03-06	13	New Brunswick	Nouveau-Brunswick	26317	14175	12142						3.3	1.8	1.5																																																					
2021-03-06	24	Quebec	Québec	548031	548031							6.4	6.4																																																						
2021-03-06	35	Ontario	Ontario	619315	347483	271832						4.2	2.3	1.8																																																					
2021-03-06	46	Manitoba	Manitoba	59400	29038	30362						4.3	2.1	2.2																																																					
2021-03-06	47	Saskatchewan	Saskatchewan	56514	29136	27378						4.8	2.5	2.3																																																					
2021-03-06	48	Alberta	Alberta	202240	111622	90618						4.6	2.5	2																																																					
2021-03-06	59	British Columbia	Colombie-Britannique	247556	160497	87059						4.7	3.1	1.7																																																					
2021-03-06	60	Yukon	Yukon	14565	5972	8593						33.8	13.9	19.9																																																					
2021-03-06	61	Northwest Territories	Territoires du Nord-Ouest	17053	5904	11149						39.2	13.6	25.6																																																					
2021-03-06	62	Nunavut	Nunavut	9199	3741	5458						23.3	9.5	13.9																																																					
2021-03-13	1	Canada	Canada	2500202	1902432	597770						6.5	5	1.6																																																					
2021-03-13	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	27418	18176	9242						5.3	3.5	1.8																																																					
2021-03-13	11	Prince Edward Island	Île-du-Prince-Édouard	10392	4796	5596						6.3	2.9	3.4																																																					
2021-03-13	12	Nova Scotia	Nouvelle-Écosse	31964	15851	16113						3.2	1.6	1.6																																																					
2021-03-13	13	New Brunswick	Nouveau-Brunswick	39182	27027	12155						5	3.4	1.5																																																					
2021-03-13	24	Quebec	Québec	714034	714034							8.3	8.3																																																						
2021-03-13	35	Ontario	Ontario	874937	589270	285667						5.9	4	1.9																																																					
2021-03-13	46	Manitoba	Manitoba	72282	39151	33131						5.2	2.8	2.4																																																					
2021-03-13	47	Saskatchewan	Saskatchewan	69646	41284	28362						5.9	3.5	2.4																																																					
2021-03-13	48	Alberta	Alberta	288021	196484	91537						6.5	4.4	2.1																																																					
2021-03-13	59	British Columbia	Colombie-Britannique	323189	236009	87180						6.2	4.5	1.7																																																					
2021-03-13	60	Yukon	Yukon	19181	8819	10362						44.5	20.5	24																																																					
2021-03-13	61	Northwest Territories	Territoires du Nord-Ouest	19680	7293	12387						45.3	16.8	28.5																																																					
2021-03-13	62	Nunavut	Nunavut	10276	4238	6038						26.1	10.8	15.3																																																					
2021-03-20	1	Canada	Canada	3402953	2772562	630391						8.9	7.2	1.6																																																					
2021-03-20	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	38915	29354	9561						7.5	5.6	1.8																																																					
2021-03-20	11	Prince Edward Island	Île-du-Prince-Édouard	13003	7388	5615						7.9	4.5	3.4																																																					
2021-03-20	12	Nova Scotia	Nouvelle-Écosse	40820	20720	20100						4.1	2.1	2																																																					
2021-03-20	13	New Brunswick	Nouveau-Brunswick	49621	37457	12164						6.3	4.7	1.5																																																					
2021-03-20	24	Quebec	Québec	945382	945382							11	11																																																						
2021-03-20	35	Ontario	Ontario	1225457	927042	298415						8.3	6.3	2																																																					
2021-03-20	46	Manitoba	Manitoba	90578	47170	43408						6.5	3.4	3.1																																																					
2021-03-20	47	Saskatchewan	Saskatchewan	101121	70519	30602						8.6	6	2.6																																																					
2021-03-20	48	Alberta	Alberta	388455	295430	93025						8.7	6.6	2.1																																																					
2021-03-20	59	British Columbia	Colombie-Britannique	453484	366204	87280						8.7	7	1.7																																																					
2021-03-20	60	Yukon	Yukon	22146	11671	10475						51.4	27.1	24.3																																																					
2021-03-20	61	Northwest Territories	Territoires du Nord-Ouest	22113	8832	13281						50.9	20.3	30.5																																																					
2021-03-20	62	Nunavut	Nunavut	11858	5393	6465						30.1	13.7	16.4																																																					
2021-03-27	1	Canada	Canada	4533234	3865185	668049						11.9	10.1	1.7																																																					
2021-03-27	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	51244	41597	9647						9.8	8	1.9																																																					
2021-03-27	11	Prince Edward Island	Île-du-Prince-Édouard	15297	8898	6399						9.3	5.4	3.9																																																					
2021-03-27	12	Nova Scotia	Nouvelle-Écosse	64681	40387	24294						6.5	4.1	2.4																																																					
2021-03-27	13	New Brunswick	Nouveau-Brunswick	80203	68008	12195						10.2	8.6	1.5																																																					
2021-03-27	24	Quebec	Québec	1218798	1218798							14.2	14.2																																																						
2021-03-27	35	Ontario	Ontario	1672351	1363194	309157						11.3	9.2	2.1																																																					
2021-03-27	46	Manitoba	Manitoba	117810	62870	54940						8.5	4.5	4																																																					
2021-03-27	47	Saskatchewan	Saskatchewan	134582	98283	36299						11.4	8.3	3.1																																																					
2021-03-27	48	Alberta	Alberta	504407	408276	96131						11.4	9.2	2.2																																																					
2021-03-27	59	British Columbia	Colombie-Britannique	613971	526532	87439						11.8	10.1	1.7																																																					
2021-03-27	60	Yukon	Yukon	23028	12268	10760						53.4	28.5	25																																																					
2021-03-27	61	Northwest Territories	Territoires du Nord-Ouest	23721	9790	13931						54.6	22.5	32																																																					
2021-03-27	62	Nunavut	Nunavut	13141	6284	6857						33.4	15.9	17.4																																																					
2021-04-03	1	Canada	Canada	5788608	5072501	716107						15.1	13.3	1.9																																																					
2021-04-03	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	78734	69071	9663						15.1	13.3	1.9																																																					
2021-04-03	11	Prince Edward Island	Île-du-Prince-Édouard	19825	12218	7607						12.1	7.4	4.6																																																					
2021-04-03	12	Nova Scotia	Nouvelle-Écosse	83796	54265	29531						8.4	5.5	3																																																					
2021-04-03	13	New Brunswick	Nouveau-Brunswick	110933	98655	12278						14.1	12.5	1.6																																																					
2021-04-03	24	Quebec	Québec	1524363	1524363							17.7	17.7																																																						
2021-04-03	35	Ontario	Ontario	2171573	1849755	321818						14.6	12.5	2.2																																																					
2021-04-03	46	Manitoba	Manitoba	147826	86315	61511						10.7	6.2	4.4																																																					
2021-04-03	47	Saskatchewan	Saskatchewan	182448	143283	39165						15.5	12.1	3.3																																																					
2021-04-03	48	Alberta	Alberta	600594	488608	111986						13.5	11	2.5																																																					
2021-04-03	59	British Columbia	Colombie-Britannique	807585	719978	87607						15.5	13.8	1.7																																																					
2021-04-03	60	Yukon	Yukon	23414	11278	12136						54.3	26.2	28.1																																																					
2021-04-03	61	Northwest Territories	Territoires du Nord-Ouest	24102	9633	14469						55.4	22.2	33.3																																																					
2021-04-03	62	Nunavut	Nunavut	13415	5079	8336						34	12.9	21.2																																																					
2021-04-10	1	Canada	Canada	7339787	6520766	819021						19.2	17.1	2.1																																																					
2021-04-10	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	100594	90920	9674						19.3	17.5	1.9																																																					
2021-04-10	11	Prince Edward Island	Île-du-Prince-Édouard	26322	17566	8756						16	10.7	5.3																																																					
2021-04-10	12	Nova Scotia	Nouvelle-Écosse	116818	85699	31119						11.8	8.6	3.1																																																					
2021-04-10	13	New Brunswick	Nouveau-Brunswick	135843	120052	15791						17.2	15.2	2																																																					
2021-04-10	24	Quebec	Québec	1873379	1857562	15817						21.8	21.6	0.2																																																					
2021-04-10	35	Ontario	Ontario	2808322	2475356	332966						18.9	16.7	2.2																																																					
2021-04-10	46	Manitoba	Manitoba	215922	147407	68515						15.6	10.7	5																																																					
2021-04-10	47	Saskatchewan	Saskatchewan	249562	208063	41499						21.2	17.6	3.5																																																					
2021-04-10	48	Alberta	Alberta	728292	563935	164357						16.4	12.7	3.7																																																					
2021-04-10	59	British Columbia	Colombie-Britannique	1022386	934567	87819						19.6	17.9	1.7																																																					
2021-04-10	60	Yukon	Yukon	23872	7096	16776						55.4	16.5	38.9																																																					
2021-04-10	61	Northwest Territories	Territoires du Nord-Ouest	24745	8276	16469						56.9	19	37.9																																																					
2021-04-10	62	Nunavut	Nunavut	13730	4267	9463						34.8	10.8	24																																																					
2021-04-17	1	Canada	Canada	9195626	8265444	930182						24	21.6	2.4																																																					
2021-04-17	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	122808	113134	9674						23.6	21.7	1.9																																																					
2021-04-17	11	Prince Edward Island	Île-du-Prince-Édouard	33430	23863	9567						20.3	14.5	5.8																																																					
2021-04-17	12	Nova Scotia	Nouvelle-Écosse	173886	141404	32482						17.5	14.3	3.3																																																					
2021-04-17	13	New Brunswick	Nouveau-Brunswick	182769	163895	18874						23.2	20.8	2.4																																																					
2021-04-17	24	Quebec	Québec	2325283	2295039	30244						27	26.7	0.4																																																					
2021-04-17	35	Ontario	Ontario	3493866	3148080	345786						23.6	21.2	2.3																																																					
2021-04-17	46	Manitoba	Manitoba	267700	197933	69767						19.3	14.3	5																																																					
2021-04-17	47	Saskatchewan	Saskatchewan	309500	266576	42924						26.2	22.6	3.6																																																					
2021-04-17	48	Alberta	Alberta	932880	700554	232326						21	15.8	5.2																																																					
2021-04-17	59	British Columbia	Colombie-Britannique	1289561	1201323	88238						24.7	23	1.7																																																					
2021-04-17	60	Yukon	Yukon	24317	4218	20099						56.4	9.8	46.6																																																					
2021-04-17	61	Northwest Territories	Territoires du Nord-Ouest	25374	6105	19269						58.4	14	44.3																																																					
2021-04-17	62	Nunavut	Nunavut	14252	3320	10932						36.2	8.4	27.7																																																					
2021-04-24	1	Canada	Canada	11133183	10112618	1020565						29.1	26.4	2.7																																																					
2021-04-24	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	147423	137727	9696						28.3	26.5	1.9																																																					
2021-04-24	11	Prince Edward Island	Île-du-Prince-Édouard	39598	29319	10279						24.1	17.8	6.3																																																					
2021-04-24	12	Nova Scotia	Nouvelle-Écosse	238566	203751	34815						24	20.5	3.5																																																					
2021-04-24	13	New Brunswick	Nouveau-Brunswick	219403	195180	24223						27.8	24.7	3.1																																																					
2021-04-24	24	Quebec	Québec	2773237	2721492	51745						32.2	31.6	0.6																																																					
2021-04-24	35	Ontario	Ontario	4268812	3908475	360337						28.8	26.4	2.4																																																					
2021-04-24	46	Manitoba	Manitoba	349534	278119	71415						25.3	20.1	5.2																																																					
2021-04-24	47	Saskatchewan	Saskatchewan	360124	316526	43598						30.5	26.8	3.7																																																					
2021-04-24	48	Alberta	Alberta	1127370	856730	270640						25.4	19.3	6.1																																																					
2021-04-24	59	British Columbia	Colombie-Britannique	1543285	1454116	89169						29.6	27.9	1.7																																																					
2021-04-24	60	Yukon	Yukon	24817	3290	21527						57.6	7.6	49.9																																																					
2021-04-24	61	Northwest Territories	Territoires du Nord-Ouest	25856	4915	20941						59.5	11.3	48.2																																																					
2021-04-24	62	Nunavut	Nunavut	15158	2978	12180						38.5	7.6	30.9																																																					
2021-05-01	1	Canada	Canada	12780195	11656402	1123793						33.4	30.5	2.9																																																					
2021-05-01	10	Newfoundland and Labrador	Terre-Neuve-et-Labrador	171285	161620	9665						32.9	31	1.9																																																					
2021-05-01	11	Prince Edward Island	Île-du-Prince-Édouard	45447	34809	10638						27.7	21.2	6.5																																																					
